name,address,city,country,postcode,state,categories,menu item,item value,currency,item description
Little Caesars Pizza,2619 Red Bluff Kroger Jct,Pasadena,US,77506,TX,Pizza Place,Ultimate Supreme Pizza,9,USD,"Our original round pizza topped with pepperoni, Italian sausage, mushroom, onion, and green pepper."
John's of 12th Street,302 E 12th St,New York,US,10003,Manhattan,"Restaurant,Italian Restaurant,Italian Restaurant East Village",Vegan Margherita Pizza,16.95,USD,"Tomato, Basil, Garlic, Daiya Cheese"
Mexican Gardens,15950 Eureka Rd,Southgate,US,48195,MI,Mexican Restaurant,Vegetarian Mexican Pizza,9.99,USD,"Our Homemade Flour Tortilla And Specialty Blend Cheese, With Spinach, Tomato, Onion And Green Pepper"
Cristy's Pizza,1001 S Main St,Baltimore,US,43105,OH,"Pizza Place,Pizza,Sandwich Shops,Italian Restaurants,Delicatessens,Restaurants",Veggie Pizza (on Honey Wheat Dough),16.2,USD,
Town Pub,378 Broad St,Bloomfield,US,7003,Grove,"American Restaurants,Bars,Pizza,Italian Restaurants,Mediterranean Restaurants,Night Clubs,Taverns,Bar & Grills,Family Style Restaurants,Restaurants,Northern Nj,Pub",Vodka Sauce Pizza,15,USD,
California Pizza Kitchen,3401 Esperanza Xing,Austin,US,78758,TX,"Pizza,Take Out Restaurants,Restaurants,American Restaurants,Italian Restaurants,pizza place,American Restaurant",White Pizza,12.49,USD,
Frank's Pizzeria,711 N 132nd St,Omaha,US,68154,NE,"Pizza Place,Take Out Restaurants,Restaurants,Pizza",White Pizza,16.24,USD,"Mozzarella, ricotta, garlic, no sauce"
Greek's Pizzeria,8028 S Emerson Ave,Indianapolis,US,46237,IN,Pizza Place,White Pizza,18.35,USD,
Little Italy Pizza,1495 Union Ave,Memphis,US,38104,Mphs,"Pizza Place,Italian Restaurant",White Pizza,8.95,USD,Mozzarella and Ricotta
Milanos Pizza,9822 Libra Ave,Sacramento,US,95827,CA,"Pizza Place,Sacramento Restaurants",White Pizza,11.5,USD,
Sir Pizza,Madison St,Madison,US,,TN,Pizza Place,White Pizza,10,USD,"Provolone cheese, garlic, olive oil, sliced tomatoes (may substitute another topping)"
Icon Grill,1933 5th Ave,Seattle,US,98101,WA,"American Restaurant,Restaurant",Wood Fire Grilled Pizza,15,USD,
Lineage - Permanently Closed,242 Harvard St,Brookline,US,2446,MA,Restaurant,Wood Oven Pizza,14,USD,"house made sausage, pickled onion, broccoli rabe, creamy goat cheese"
